Material,Diameter (nm),Zeta potential (mV),Cell_type,Concentration (g/L),Viability (%),Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
0,0.02816326530612245,0.08798645868219201,29,2.370302786695992e-07,3.661017,0,0,2,1,0,10,0.4251497005988024,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,29,1.896242229356793e-08,48.47682,0,0,2,1,0,10,0.28143712574850305,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,29,7.584968917427173e-08,65.960266,0,0,2,1,0,10,0.13772455089820362,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,5.688726688070381e-07,23.713354,0,0,2,4,0,25,0.28143712574850305,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,5.688726688070381e-07,20.521173,0,0,2,4,0,25,0.4251497005988024,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,7.584968917427173e-07,21.889252,0,0,2,4,0,25,0.28143712574850305,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,3.792484458713587e-07,3.986711,0,0,2,4,0,25,0.4251497005988024,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,29,7.584968917427173e-08,18.305084,0,0,2,1,0,10,0.13772455089820362,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,29,2.370302786695992e-07,32.083332,0,0,2,1,0,10,0.13772455089820362,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,9.481211146783965e-07,11.561461,0,0,2,4,0,25,0.13772455089820362,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,7.584968917427173e-07,6.7774086,0,0,2,4,0,25,0.4251497005988024,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,7.584968917427173e-07,5.9800663,0,0,2,4,0,25,0.28143712574850305,0.3369886851539321,0.0,0,0.9939393939393942
0,0.02816326530612245,0.08798645868219201,28,7.584968917427173e-07,9.568107,0,0,2,4,0,25,0.13772455089820362,0.3369886851539321,0.0,0,0.9939393939393942
